"","PRIMARY_COUNTY","FACILITY_NAME","DISCHARGE_METHOD","PRES_RES_TOTAL_RECEIVNG_TRMT","EXIST_MUNICIPAL","EXIST_INDUSTRIAL","EXIST_INFILTRATION","EXIST_TOTAL","EXIST_WET_WEATHER_PEAK","PRIMARY_WATERSHED_NAME","HORIZONTAL_COORDINATE_DATUM","PFOS  discharge  based on MN WWTP regression representing year 2007 (kg)","geometry","intersection","ORIGINAL_HUC_8","CALCULATED_HUC_12","CALCULATED_HUC_8"
"314","Adair","KIRKSVILLE WWTP","Outfall To Surface Waters",17304,1.65,0.3,0.4,2.35,NA,"North Fork Salt","North American Datum of 1983",0.0137979264995526,c(-92.6501, 40.1893),62246,"07110005","102802020203","10280202"
"315","Goodhue","RED WING MUNICIPAL WWTP","Outfall To Surface Waters",17248,NA,NA,NA,1.84,NA,"Lower St. Croix","North American Datum of 1983",0.0137425777003104,c(-92.52, 44.5704),54862,"07030005","070400010403","07040001"
"316","Uintah","ASHLEY VALLEY SMB","Outfall To Surface Waters",17163,NA,NA,NA,1.85,NA,"Ashley-Brush","North American Datum of 1983",0.0136586485471723,c(-109.5539, 40.4478),51408,"14060002","140600100903","14060010"
"317","Winnebago","SOUTH BELOIT STP","Outfall To Surface Waters",17100,1.687,0.33,NA,2.017,NA,"Upper Rock","North American Datum of 1983",0.0135965065448428,c(-89.0463, 42.4861),2916,"07090001","070900021502","07090002"
"318","La Plata","DURANGO WWTP","Outfall To Surface Waters",17000,2,NA,NA,2,NA,"Upper San Juan","North American Datum of 1983",0.0134979812863843,c(-107.8792, 37.2643),6413,"14080101","140801040901","14080104"
"319","Gray","Pampa WWTP","Outfall To Surface Waters",17000,2,NA,NA,2,NA,"Middle Canadian-Spring","North American Datum of 1927",0.0134979812863843,c(-101.9233, 35.6075),13140,"11090106","110901050702","11090105"
"320","Clarendon","MANNING TREATMENT PLANT","Outfall To Surface Waters",17000,1.1,0.1,NA,1.2,NA,"Lake Marion","North American Datum of 1983",0.0134979812863843,c(-80.1983, 33.6997),14979,"03050111","030402050405","03040205"
"321","Scott","SIKESTON WWTP","Outfall To Surface Waters",16992,1.9,0.58,NA,2.48,NA,"New Madrid-St. Johns","North American Datum of 1983",0.0134901052621461,c(-89.5656, 36.8698),34754,"08020201","080103000305","08010300"
"322","Macomb","MT CLEMENS WWTP","Outfall To Surface Waters",16848,3.48,0.3,NA,3.78,NA,"Lake St. Clair","North American Datum of 1983",0.0133484893077773,c(-82.8653, 42.6019),44267,"04090002","040900030402","04090003"
"323","Mercer","GROVE CITY BORO STP","Outfall To Surface Waters",16844,2.21,0.19,NA,2.4,NA,"Shenango","North American Datum of 1983",0.0133445596650558,c(-80.0942, 41.1448),16211,"05030102","050301050203","05030105"
"324","Brazoria","OYSTER CREEK WWTP","Outfall To Surface Waters",16830,2.37,0.04,NA,2.41,NA,"West Galveston Bay","North American Datum of 1983",0.0133308076794658,c(-95.4603, 29.1586),11124,"12040204","120402050400","12040205"
"325","Georgetown","GCW&SD PAWLEYS AREA","Outfall To Surface Waters",16810,2.7,NA,NA,2.7,NA,"Carolina Coastal-Sampit","North American Datum of 1983",0.0133111667483137,c(-79.1167, 33.4917),20238,"03040207","030402061003","03040206"
"326","Utah","PAYSON","Outfall To Surface Waters",16593,NA,NA,NA,1.81,NA,"Utah Lake","North American Datum of 1983",0.0130984242104796,c(-111.731, 40.0613),50259,"16020201","160202020603","16020202"
"327","Monmouth","Asbury Park City CS/WWTP","Outfall To Surface Waters",16577,2.672,NA,NA,2.672,NA,"Sandy Hook-Staten Island","North American Datum of 1983",0.0130827644347466,c(-73.9978, 40.228),21209,"02030104","020403010103","02040301"
"328","Harris","Southwest WWTP - Humble","Outfall To Surface Waters",16500,2.056,NA,NA,2.056,NA,"Buffalo-San Jacinto","North American Datum of 1983",0.0130074525413537,c(-95.2678, 29.9999),30360,"12040104","120401010501","12040101"
"329","Essex","Newburyport WPCF","Outfall To Surface Waters",16150,0.98,0.4,0.98,2.36,9.4,"Merrimack","North American Datum of 1983",0.0126661927372818,c(-70.8611, 42.8083),11126,"01070002","010700061404","01070006"
"330","Montgomery","LANSDALE BORO STP","Outfall To Surface Waters",16071,2.6,NA,NA,2.6,3.5,"Schuylkill","North American Datum of 1983",0.0125894093935125,c(-75.2872, 40.2571),21415,"02040203","020402010202","02040201"
"331","York","YORK WWTP","Outfall To Surface Waters",16000,3.35,0.65,NA,4,NA,"Lower Broad","North American Datum of 1983",0.0125204788139793,c(-81.175, 34.9417),20214,"03050106","030501030402","03050103"
"332","Cumberland","MECHANICSBURG STP","Outfall To Surface Waters",15895,1.4,NA,NA,1.4,NA,"Lower Juniata","North American Datum of 1983",0.012418673786157,c(-77.0066, 40.2526),29808,"02050304","020503050408","02050305"
"333","Niagara","Lewiston (T) Master SD WWTP&Onsites","Outfall To Surface Waters",15602,2.097,NA,NA,2.097,NA,"Niagara","North American Datum of 1983",0.0121354447796713,c(-79.0461, 43.2014),42658,"04120104","042701010809","04270101"
"334","Malheur","ONTARIO STP","Outfall To Surface Waters",15532,2,NA,NA,2,NA,"Middle Snake-Payette","North American Datum of 1983",0.0120679669664617,c(-117.0009, 44.0394),79292,"17050115","170501170603","17050117"
"335","Cabell","PEA RIDGE PSD WWTP A","Outfall To Surface Waters",15436,0.85,NA,NA,0.85,NA,"Raccoon-Symmes","North American Datum of 1983",0.0119755446372038,c(-82.2982, 38.4193),6546,"05090101","050701020403","05070102"
"336","Summit","SNYDERVILLE WRD - EAST CANYON","Outfall To Surface Waters",15418,NA,NA,NA,3.2,NA,"Upper Weber","North American Datum of 1983",0.0119582307772611,c(-111.5641, 40.7569),48686,"16020101","160201020103","16020102"
"337","Chittenden","S BURLINGTON ARPT PKWY WP","Outfall To Surface Waters",15219,1.285,0.02,0.075,1.38,NA,"Winooski","North American Datum of 1983",0.0117671406447656,c(-73.1704, 44.4814),45589,"02010003","043001030704","04300103"
"338","Lackawanna","CLARKS SUMMIT / S ABINGTON STP","Outfall To Surface Waters",15182,2.01,0.1,NA,2.11,NA,"Upper Susquehanna-Lackawanna","North American Datum of 1983",0.0117316771575581,c(-75.5327, 40.727),21413,"02050107","020401060804","02040106"
"339","Maricopa","Central Buckeye WWTF","Outfall To Surface Waters",15150,1.2,NA,NA,1.2,NA,"Lower Gila","Unknown",0.011701022754714,c(-112.7836, 33),24529,"15070201","150701010709","15070101"
"340","Starr","West 6th Street WWTP","Outfall To Surface Waters",15000,0.59,NA,NA,0.59,NA,"International Falcon Reservoir","North American Datum of 1983",0.0115575377442897,c(-99.002, 26.3942),5504,"13080003","130900011109","13090001"
"341","St. Bernard","MUNSTER WWTP","Outfall To Surface Waters",14906,2,NA,NA,2,NA,"Lower Mississippi-New Orleans","North American Datum of 1983",0.0114677956154562,c(-89.9564, 29.9311),101956,"08090100","080902030501","08090203"
"342","Tipton","MUNFORD LAGOON","Outfall To Surface Waters",14695,2,NA,NA,2,NA,"Lower Mississippi-Memphis","North American Datum of 1983",0.01126684841423,c(-89.8116, 35.4582),30648,"08010100","080102090301","08010209"
"343","Harris","Bellaire WWTP","Outfall To Surface Waters",14652,1.8,NA,NA,1.8,NA,"Lower Brazos","North American Datum of 1983",0.0112259816395321,c(-95.4497, 29.6905),97222,"12070104","120401040402","12040104"
"344","Hillsborough","Merrimack WWTF","Outfall To Surface Waters",14542,2.812,2,NA,4.812,3.453,"Merrimack","North American Datum of 1983",0.011121569833478,c(-71.4756, 42.8106),21316,"01070002","010700061002","01070006"
"345","Essex","Amesbury Dept of Public Works","Outfall To Surface Waters",14520,1.28,0.23,NA,1.51,NA,"Merrimack","North American Datum of 1983",0.0111007101632537,c(-70.927, 42.8406),11126,"01070002","010700061404","01070006"
"346","Rapides","PINEVILLE STP","Outfall To Surface Waters",14500,2.5,NA,NA,2.5,NA,"Lower Red","North American Datum of 1983",0.0110817534075772,c(-92.4436, 31.3201),27709,"08040301","111402070904","11140207"
"347","Eddy","ARTESIA STP","Outfall To Surface Waters",14447,1.03,NA,NA,1.03,NA,"Pecos Headwaters","North American Datum of 1983",0.0110315483666554,c(-104.3999, 32.84),43711,"13060001","130600071204","13060007"
"348","Lake","Lake Co Madison No. 1 WWTP","Outfall To Surface Waters",14429,2.45,NA,NA,2.45,NA,"Ashtabula-Chagrin","North American Datum of 1983",0.0110145076430139,c(-81.1755, 41.6866),66546,"04110003","041100040606","04110004"
"349","Chippewa","SAULT STE MARIE STP","Outfall To Surface Waters",14324,3,NA,NA,3,NA,"St. Marys","North American Datum of 1983",0.010915205246917,c(-84.3153, 46.4914),54116,"04070001","042000020303","04200002"
"350","Multnomah","TROUTDALE STP","Outfall To Surface Waters",14300,0.92,NA,NA,0.92,NA,"Lower Columbia-Sandy","North American Datum of 1983",0.0108925320293519,c(-122.3887, 45.5525),15631,"17080001","170900120201","17090012"
"351","Bryan","DURANT UA WWT","Outfall To Surface Waters",14277,1.5,0.07,NA,1.57,NA,"Bois D'arc-Island","North American Datum of 1983",0.0108708120971534,c(-96.3159, 33.9395),31301,"11140101","111401020205","11140102"
"352","Santa Rosa","MILTON WWTP","Outfall To Surface Waters",14250,NA,NA,NA,1.55,NA,"Pensacola Bay","North American Datum of 1983",0.0108453254995433,c(-87.0349, 30.6181),6792,"03140105","031401040503","03140104"
"353","Imperial","CALEXICO WWTF","Outfall To Surface Waters",14247,1.4,NA,NA,1.4,NA,"Salton Sea","North American Datum of 1983",0.0108424943703102,c(-115.5598, 32.6645),20716,"18100200","181002041101","18100204"
"354","Saginaw","BRIDGEPORT TWP STP","Outfall To Surface Waters",14190,1.2,NA,NA,1.2,NA,"Saginaw","North American Datum of 1983",0.0107887301249063,c(-83.8987, 43.3579),25290,"04080206","040802050306","04080205"
"355","Walworth","WHITEWATER STP","Outfall To Surface Waters",14110,1.3,0.53,NA,1.83,NA,"Upper Rock","North American Datum of 1983",0.0107133589523979,c(-88.7189, 42.8571),75281,"07090001","070900020203","07090002"
"356","Hidalgo","Alamo WWTP","Outfall To Surface Waters",14070,0.724,NA,NA,0.724,NA,"Lower Rio Grande","North American Datum of 1983",0.0106757117726634,c(-98.1186, 26.1417),28636,"13090002","121102080100","12110208"
"357","Douglas","DOUGLASVILLE SOUTH WPCP","Outfall To Surface Waters",14039,2.32,NA,NA,2.32,NA,"Middle Chattahoochee-Lake Harding","North American Datum of 1927",0.0106465528671843,c(-84.4249, 33.4243),13811,"03130002","031300050104","03130005"
"358","Placer","LINCOLN WWTF","Outfall To Surface Waters",14000,1.4,NA,NA,1.4,3,"Lower Sacramento","North American Datum of 1983",0.0106098910293708,c(-121.3272, 38.8972),84073,"18020109","180201610301","18020161"
"359","Yuba","OLIVEHURST WWTF","Outfall To Surface Waters",14000,1,NA,NA,1,NA,"Lower Feather","North American Datum of 1983",0.0106098910293708,c(-121.5511, 39.0671),84066,"18020106","180201590503","18020159"
"360","Kendall","Joliet, Aux Sable Creek Basin WWTP","Outfall To Surface Waters",14000,0.95,NA,NA,0.95,NA,"Des Plaines","North American Datum of 1983",0.0106098910293708,c(-88.274, 41.5278),7191,"07120004","071200050102","07120005"
"361","Lexington","COVENTRY WOODS WWTP","Outfall To Surface Waters",13971,1.823,NA,NA,1.823,NA,"Congaree","North American Datum of 1983",0.0105826455441045,c(-81.2142, 33.9864),41243,"03050110","030501091402","03050109"
"362","Greenville","GROVE CREEK PLANT & INTER","Outfall To Surface Waters",13895,1.65,0.04,NA,1.69,NA,"Upper Broad","North American Datum of 1983",0.0105113080168738,c(-82.4312, 34.6797),41162,"03050105","030501090305","03050109"
"363","Canadian","MUSTANG WWT","Outfall To Surface Waters",13850,1.4,NA,NA,1.4,NA,"Lower Canadian-Walnut","North American Datum of 1983",0.0104691127770675,c(-97.7349, 35.4052),45113,"11090202","111003010707","11100301"
"364","Warren","MCMINNVILLE WWTP","Outfall To Surface Waters",13770,1.98,NA,NA,1.98,10,"Barren","North American Datum of 1983",0.0103941802803323,c(-85.7597, 35.677),22206,"05110002","051301070204","05130107"
"365","Volusia","HOLLY HILL STP","Outfall To Surface Waters",13700,NA,NA,NA,2,NA,"Upper St. Johns","North American Datum of 1983",0.0103286999776998,c(-81.0464, 29.2439),102036,"03080101","030802010103","03080201"
"366","Jefferson","Georgia Street WWTP","Outfall To Surface Waters",13600,1.76,NA,NA,1.76,NA,"Lower Neches","North American Datum of 1983",0.0102352959715985,c(-93.9419, 29.9542),97401,"12020003","120402010300","12040201"
"367","Harris","West University Place WWTP","Outfall To Surface Waters",13500,1.52,NA,NA,1.52,NA,"Austin-Oyster","North American Datum of 1983",0.0101420566520478,c(-95.4252, 29.6916),97222,"12040205","120401040402","12040104"
"368","Brazoria","CLUTE WWTP","Outfall To Surface Waters",13430,3,NA,NA,3,NA,"Lower Brazos","North American Datum of 1983",0.0100768876124172,c(-95.3907, 29.0155),11124,"12070104","120402050400","12040205"
"369","Chittenden","BURLINGTON NO END STP","Outfall To Surface Waters",13400,1.17,NA,NA,1.17,NA,"Winooski","North American Datum of 1983",0.0100489829453651,c(-73.2628, 44.5202),45580,"02010003","043001081604","04300108"
"370","Columbia","BLOOMSBURG STP","Outfall To Surface Waters",13389,2.2,0.41,NA,2.61,NA,"Lower West Branch Susquehanna","North American Datum of 1983",0.0100387549884746,c(-76.4577, 40.9856),29799,"02050206","020501071002","02050107"
"371","Dane","STOUGHTON STP","Outfall To Surface Waters",13370,1.3,0.05,NA,1.35,NA,"Upper Rock","North American Datum of 1983",0.010021093267849,c(-89.2152, 42.9126),73853,"07090001","070900020903","07090002"
"372","Brazoria","Silverlake WWTP","Outfall To Surface Waters",13300,1.199,NA,NA,1.199,NA,"Austin-Oyster",NA,0.00995607579002398,c(-95.3442, 29.5414),94276,"12040205","120402040100","12040204"
"373","Webster","MINDEN TREATMENT PLANT","Outfall To Surface Waters",13300,0.81,NA,NA,0.81,NA,"Middle Red-Coushatta","North American Datum of 1983",0.00995607579002398,c(-93.2938, 32.5815),88589,"11140202","111402030501","11140203"
"374","Oakland","WIXOM STP","Outfall To Surface Waters",13263,0.9,0.24,NA,1.14,NA,"Huron","North American Datum of 1983",0.00992174254497928,c(-83.5518, 42.5455),44576,"04090005","041000130103","04100013"
"375","Geary","JUNCTION CITY EAST WWTP","Outfall To Surface Waters",13222,1.32,0.05,NA,1.37,7,"Lower Republican","North American Datum of 1983",0.00988372444004788,c(-96.819, 39.0445),88558,"10250017","102600080805","10260008"
"376","Grafton","Lebanon WWTF","Outfall To Surface Waters",13204,1.932,NA,NA,1.932,2.887,"Upper Connecticut-Mascoma","North American Datum of 1983",0.00986704249494317,c(-72.3205, 43.6368),22807,"01080104","010801060106","01080106"
"377","Tulare","Cutler-Orosi WWTF","Outfall To Surface Waters",13190,1.4,NA,NA,1.4,1.9,"Tulare-Buena Vista Lakes","North American Datum of 1983",0.00985407142120204,c(-119.3049, 36.5231),58590,"18030012","180300070802","18030007"
"378","Horry","GSWSA/MYRTLE BEACH WWTP","Outfall To Surface Waters",13176,10.5,NA,NA,10.5,13,"Carolina Coastal-Sampit","North American Datum of 1983",0.0098411036512717,c(-79.0562, 33.6336),20233,"03040207","030402061002","03040206"
"379","Tehama","RED BLUFF WWTF","Outfall To Surface Waters",13147,1.36,NA,NA,1.36,NA,"Sacramento-Lower Thomes","North American Datum of 1983",0.00981425236347935,c(-122.2167, 40.1625),2111,"18020103","180201550405","18020155"
"380","Brevard","TITUSVILLE SOUTH PLANT #1","Outfall To Surface Waters",13043,1.66,0.06,NA,1.72,NA,"Cape Canaveral","North American Datum of 1983",0.00971807512654289,c(-80.8599, 28.5487),6707,"03080202","030801010805","03080101"
"381","Worcester","Ocean Pines WWTP","Outfall To Surface Waters",13000,2.5,NA,NA,2.5,NA,"Chincoteague","North American Datum of 1983",0.00967836320446936,c(-75.2146, 38.3973),21081,"02060010","020403030302","02040303"
"382","Bexar","Martinez II WWTP","Outfall To Surface Waters",13000,1.7,NA,NA,1.7,NA,"Upper San Antonio","North American Datum of 1983",0.00967836320446936,c(-98.3175, 29.4348),52468,"12100301","121003040205","12100304"
"383","Gila","PAYSON -NO. GILA SANITARY DISTRICT","Outfall To Surface Waters",13000,1.25,NA,0.2,1.45,1.45,"Tonto","North American Datum of 1983",0.00967836320446936,c(-111.3621, 34.2334),35939,"15060105","150602030204","15060203"
"384","Calhoun","Lynn's Bayou WWTP","Outfall To Surface Waters",13000,1.27,NA,NA,1.27,NA,"Lavaca","North American Datum of 1983",0.00967836320446936,c(-96.6294, 28.6249),53441,"12100101","121004020305","12100402"
"385","Placer","AUBURN WWTF","Outfall To Surface Waters",12634,1.15,NA,NA,1.15,NA,"Upper Coon-Upper Auburn","North American Datum of 1983",0.00934163385572835,c(-121.1156, 38.896),84068,"18020127","180201610102","18020161"
"386","Rogers","TULSA LOWER BIRD CREEK WWT","Outfall To Surface Waters",12578,0.3,NA,NA,0.3,NA,"Bird","North American Datum of 1983",0.009290316962148,c(-95.9936, 36.1502),19567,"11070107","111101010304","11110101"
"387","Washington","BARRE CITY WPCF","Outfall To Surface Waters",12526,1.72,0.62,0.4,2.74,NA,"Winooski","North American Datum of 1983",0.00924271462952328,c(-72.5416, 44.1833),45671,"02010003","043001030101","04300103"
"388","Ventura","FILLMORE WWTF","Outfall To Surface Waters",12497,0.79,0.11,NA,0.9,NA,"Santa Clara","North American Datum of 1983",0.00921618775544746,c(-118.5535, 34.2328),5672,"18070102","180701050203","18070105"
"389","Windham","BRATTLEBORO STP","Outfall To Surface Waters",12462,1.641,0.04,NA,1.681,NA,"Upper Connecticut-Mascoma","North American Datum of 1983",0.00918419223438688,c(-72.5476, 42.8382),21297,"01080104","010801070507","01080107"
"390","Brazoria","Main Plant","Outfall To Surface Waters",12400,1.026,NA,NA,1.026,NA,"West Galveston Bay","North American Datum of 1983",0.00912756740484087,c(-95.378, 28.9442),11124,"12040204","120402050400","12040205"
"391","St. Lawrence","Ogdensburg (C) WWTP","Outfall To Surface Waters",12364,2.593,0.5,0.704,3.797,NA,"Upper St. Lawrence","North American Datum of 1983",0.00909471961834999,c(-75.4854, 44.7048),45526,"04150301","042900080102","04290008"
"392","Delta","ESCANABA WWTP","Outfall To Surface Waters",12297,1.58,NA,NA,1.58,NA,"Lake Michigan","North American Datum of 1983",0.00903364736916399,c(-87.0956, 45.7244),38689,"04060200","040301110210","04030111"
"393","Snyder","SELINSGROVE STP","Outfall To Surface Waters",12279,1,0.25,NA,1.25,NA,"Lower West Branch Susquehanna","North American Datum of 1983",0.00901725348617406,c(-76.8588, 40.772),42498,"02050206","020503011001","02050301"
"394","Jefferson","FORT ATKINSON STP","Outfall To Surface Waters",12151,1.63,0.62,NA,2.25,NA,"Upper Rock","North American Datum of 1983",0.00890084145024392,c(-88.8552, 42.9035),73855,"07090001","070900021001","07090002"
"395","Salem","Pennsville SA CS-Septics/ STP","Outfall To Surface Waters",12083,1.432,0.15,NA,1.582,NA,"Lower Delaware","North American Datum of 1983",0.00883911696468518,c(-75.5426, 39.6377),21092,"02040202","020402060105","02040206"
"396","Horry","OCEAN DRIVE WWTP","Outfall To Surface Waters",12000,3.315,NA,NA,3.315,NA,"Carolina Coastal-Sampit","North American Datum of 1983",0.00876388972586977,c(-78.6872, 33.8322),20604,"03040207","030402080301","03040208"
"397","St. Bernard","DRAVO TREATMENT PLANT","Outfall To Surface Waters",12000,2.6,NA,NA,2.6,NA,"Lower Mississippi-New Orleans","North American Datum of 1983",0.00876388972586977,c(-89.9564, 29.9311),101956,"08090100","080902030501","08090203"
"398","La Salle","LaSalle WWTP","Outfall To Surface Waters",12000,0.85,0.4,NA,1.25,NA,"Lower Illinois-Senachwine Lake","North American Datum of 1983",0.00876388972586977,c(-88.705, 41.3239),11557,"07130001","071200050802","07120005"
"399","Harris","Intercontinental Airport WWTP","Outfall To Surface Waters",12000,1.009,0.1,NA,1.109,NA,"Spring","North American Datum of 1983",0.00876388972586977,c(-95.3938, 29.8752),97065,"12040102","120401040304","12040104"
"400","Franklin","Malone (V) STP","Outfall To Surface Waters",11925,1.8,NA,0.6,2.4,NA,"English-Salmon","North American Datum of 1983",0.00869602060148105,c(-74.2976, 44.864),45416,"04150307","042900070302","04290007"
"401","Gogebic","GOGEBIC-IRON WWA STP","Outfall To Surface Waters",11902,1.03,NA,NA,1.03,NA,"Black-Presque Isle","North American Datum of 1983",0.00867522789051171,c(-90.1836, 46.4634),24785,"04020101","040103020107","04010302"
"402","Utuado","Utuado WWTP","Outfall To Surface Waters",11859,0.42,NA,NA,0.42,NA,"Interior Puerto Rico","North American Datum of 1927",0.00863638043400122,c(-66.4237, 18.1612),40357,"21010001","210100040311","21010004"
"403","St. Lawrence","Massena (V) STP","Outfall To Surface Waters",11809,2.108,NA,0.5,2.608,NA,"Upper St. Lawrence","North American Datum of 1983",0.00859125146983809,c(-74.8745, 44.9368),45440,"04150301","042900040502","04290004"
"404","Wexford","CADILLAC TWP WTW","Outfall To Surface Waters",11707,2.18,NA,NA,2.18,NA,"Manistee","North American Datum of 1983",0.00849933066947712,c(-85.3992, 44.2634),28430,"04060103","040601020303","04060102"
"405","Cumberland","LEMOYNE BORO STP","Outfall To Surface Waters",11631,1.66,NA,NA,1.66,NA,"Lower Susquehanna","North American Datum of 1983",0.00843096542515889,c(-76.8994, 40.2447),43349,"02050306","020503051011","02050305"
"406","Barren","GLASGOW","Outfall To Surface Waters",11607,1.2,0.8,NA,2,NA,"Upper Green","North American Datum of 1983",0.00840939863203787,c(-85.9578, 36.9833),85378,"05110001","051100020306","05110002"
"407","Uinta","EVANSTON WWTP","Outfall To Surface Waters",11507,1.33,NA,NA,1.33,NA,"Salt","North American Datum of 1927",0.00831965235857175,c(-111.0016, 41.171),77927,"17040105","160101010302","16010101"
"408","Lares","Lares WWTP","Outfall To Surface Waters",11506,0.69,NA,NA,0.69,NA,"Interior Puerto Rico","North American Datum of 1983",0.0083187558380765,c(-66.8803, 18.3078),41334,"21010001","210100020503","21010002"
"409","Erie","Vermilion WWTP & Sewer System","Outfall To Surface Waters",11400,1.2,NA,NA,1.2,NA,"Lake Erie","North American Datum of 1983",0.00822383095968011,c(-82.3504, 41.4193),45333,"04120200","041000120204","04100012"
"410","Riverside","BEAUMONT WWTF","Outfall To Surface Waters",11384,1.1,NA,NA,1.1,NA,"Salton Sea","North American Datum of 1983",0.00820952101961443,c(-116.9872, 33.9314),2093,"18100200","180702030401","18070203"
"411","Utah","SALEM","Outfall To Surface Waters",11357,NA,NA,NA,1.1,NA,"Utah Lake","North American Datum of 1983",0.00818538394211291,c(-111.6863, 40.0708),50259,"16020201","160202020603","16020202"
"412","St. Clair","ALGONAC STP","Outfall To Surface Waters",11209,1.38,NA,NA,1.38,NA,"St. Clair","North American Datum of 1983",0.00805332223923972,c(-82.542, 42.6153),44338,"04090001","040900021009","04090002"
"413","Kern","TAFT WWTF","Outfall To Surface Waters",11173,0.88,0.05,NA,0.93,NA,"Tulare-Buena Vista Lakes","North American Datum of 1927",0.00802126214121109,c(-119.4264, 35.1489),57836,"18030012","180300031405","18030003"
"414","Cowley","ARKANSAS CITY WWTP","Outfall To Surface Waters",11100,1.11,0.47,NA,1.58,3.16,"Middle Arkansas-Slate","North American Datum of 1983",0.00795632752832534,c(-97.0253, 37.0431),85959,"11030013","110300180409","11030018"
"415","Lawrence","South Point WWTP & Sewer System","Outfall To Surface Waters",11047,1.25,NA,NA,1.25,NA,"Raccoon-Symmes","North American Datum of 1983",0.00790924735893365,c(-82.5931, 38.4244),64830,"05090101","050901030101","05090103"
"416","Yuba","LINDA WWTF","Outfall To Surface Waters",11000,0.97,NA,NA,0.97,NA,"Lower Feather","North American Datum of 1983",0.00786754233989089,c(-121.5852, 39.0954),84066,"18020106","180201590503","18020159"
"417","Taylor","CAMPBELLSVILLE STP","Outfall To Surface Waters",10947,1.6,NA,NA,1.6,NA,"Salt","North American Datum of 1983",0.00782056456123931,c(-85.3794, 37.3492),60838,"05140102","051100010504","05110001"
"418","Lowndes","MUD CR WPCP","Outfall To Surface Waters",10900,1.21,NA,NA,1.21,NA,"Alapaha","North American Datum of 1927",0.00777895065576803,c(-83.1334, 30.481),13220,"03110202","031102010905","03110201"
"419","Mississippi","Blytheville - South WWTP","Outfall To Surface Waters",10889,0.697,NA,NA,0.697,NA,"Little River Ditches","North American Datum of 1983",0.00776921744161582,c(-89.9367, 35.8972),28658,"08020204","080202031203","08020203"
"420","Walker","SOUTH STP #3","Outfall To Surface Waters",10820,1.13,NA,NA,1.13,NA,"Lower Trinity-Tehuacana","North American Datum of 1983",0.00770821753653456,c(-95.5533, 30.6451),17598,"12030201","120401010202","12040101"
"421","Jayuya","Jayuya WWTP","Outfall To Surface Waters",10800,0.54,NA,NA,0.54,NA,"Interior Puerto Rico","North American Datum of 1983",0.00769055382371445,c(-66.6055, 18.2153),41324,"21010001","210100020408","21010002"
"422","Hillsborough","Milford WWTF","Outfall To Surface Waters",10747,1.615,NA,NA,1.615,2.74,"Merrimack","North American Datum of 1983",0.00764378297294021,c(-71.6265, 42.8273),21446,"01070002","010700060906","01070006"
"423","Cerro Gordo","CLEAR LAKE SEWER DIST","Outfall To Surface Waters",10666,1.3,NA,3.3,4.6,NA,"Winnebago","North American Datum of 1983",0.00757240995195001,c(-93.4069, 43.1042),9417,"07080203","070802040202","07080204"
"424","Northumberland","Coal Township","Outfall To Surface Waters",10628,1.1,NA,NA,1.1,NA,"Lower Susquehanna-Penns","North American Datum of 1927",0.00753897105523224,c(-76.3441, 40.4814),43032,"02050301","020503050701","02050305"
"425","Hidalgo","Hidalgo WWTP","Outfall To Surface Waters",10600,0.996,NA,NA,0.996,NA,"Lower Rio Grande","North American Datum of 1983",0.00751435021711144,c(-98.2355, 26.1071),28636,"13090002","121102080100","12110208"
"426","Jim Wells","East WWTP - Alice","Outfall To Surface Waters",10500,1.1,0.05,NA,1.15,NA,"San Fernando","North American Datum of 1983",0.00742654625005899,c(-97.677, 27.9699),49614,"12110204","121101110706","12110111"
"427","Alpena","ALPENA WWTS","Outfall To Surface Waters",10490,3.57,NA,NA,3.57,NA,"Lake Huron","North American Datum of 1983",0.00741777685515581,c(-83.4292, 45.0604),55967,"04080300","042400020102","04240002"
"428","Worcester","Leicester Board of Health","Outfall To Surface Waters",10471,NA,NA,NA,0.21,NA,"Blackstone","North American Datum of 1983",0.00740112053288795,c(-71.9162, 42.2395),15645,"01090003","011000010201","01100001"
"429","Gillespie","Fredericksburg WWTP","Outfall To Surface Waters",10450,1.14,NA,NA,1.14,NA,"Pedernales","North American Datum of 1927",0.00738271935124875,c(-98.535, 30.1436),94956,"12090206","121002030102","12100203"
"430","Will","MINOOKA STP","Outfall To Surface Waters",10400,0.94,NA,NA,0.94,NA,"Kankakee","North American Datum of 1983",0.00733894275126145,c(-88.2389, 41.4398),2230,"07120001","071200040810","07120004"
"431","Kenosha","Salem Utility District - STP","Outfall To Surface Waters",10260,1.17,NA,NA,1.17,9.7,"Des Plaines","North American Datum of 1983",0.00721663743050716,c(-88.1568, 42.5083),9030,"07120004","071200061005","07120006"
"432","Cumberland","SHIPPENSBURG BORO STP","Outfall To Surface Waters",10228,1.5,NA,NA,1.5,NA,"Conococheague-Opequon","North American Datum of 1983",0.00718873792619868,c(-77.5305, 40.059),42809,"02070004","020503050302","02050305"
"433","Monroe","ABERDEEN POTW, EAST","Outfall To Surface Waters",10147,2,2,NA,4,NA,"Tibbee","North American Datum of 1983",0.00711821101176476,c(-88.5423, 33.8281),62253,"03160104","031601011404","03160101"
"434","Weld","WELD COUNTY TRI AREA STP","Outfall To Surface Waters",10129,1.5,NA,NA,1.5,NA,"Middle South Platte-Cherry Creek","North American Datum of 1983",0.00710255666723089,c(-104.9416, 40.125),38257,"10190003","101900050707","10190005"
