"","FACIL_NAME","STATE","BRANCH","Latitude","Longitude","intersection","HUC","elevation","elev_units","geometry"
"196","Minneapolis-St Paul IAP","Minnesota","Air Force",44.8847554,-93.2222846,60789,"070200121110",251.72,"meters",c(-93.2222846, 44.8847554)
"197","St Cloud AASF","Minnesota","Army",45.5391977,-94.0565694,256,"070102030304",309.61,"meters",c(-94.0565694, 45.5391977)
"198","AASF Jackson","Mississippi","Army",32.332745,-90.2259714,63008,"031800020604",94.28,"meters",c(-90.2259714, 32.332745)
"199","AASF Meridian","Mississippi","Army",32.346472,-88.744913,61609,"031700010603",92.49,"meters",c(-88.744913, 32.346472)
"200","AASF Tupelo","Mississippi","Army",34.272608,-88.766089,62351,"031601020401",100.79,"meters",c(-88.766089, 34.272608)
"201","Jefferson City AASF/Armory","Missouri","Army",38.5811111,-92.1847222,39842,"103001021304",187.05,"meters",c(-92.1847222, 38.5811111)
"202","KANSAS CITY MO","Missouri","Navy",39.0997265,-94.5785667,87974,"102701040607",273.59,"meters",c(-94.5785667, 39.0997265)
"203","Springfield AVCRAD","Missouri","Army",37.2231855,-93.2687431,93509,"110100020301",407.97,"meters",c(-93.2687431, 37.2231855)
"204","Fort William Henry Harrison /JFHQ MT","Montana","Army",46.6224029,-112.0969388,60375,"100301011405",1207.45,"meters",c(-112.0969388, 46.6224029)
"205","Helena Aviation Readiness Center - AASF","Montana","Army",46.6095791,-111.9902266,4191,"100301011310",1168.2,"meters",c(-111.9902266, 46.6095791)
"206","Grand Island AASF/RC","Nebraska","Army",40.9693717,-98.3185653,65151,"102001030401",561.44,"meters",c(-98.3185653, 40.9693717)
"207","Lincoln AASF/Readiness Center","Nebraska","Army",40.841452,-96.756936,65592,"102002030406",354.6,"meters",c(-96.756936, 40.841452)
"208","Offutt AFB","Nebraska","Air Force",41.1242718,-95.9145568,69353,"102300060206",311.82,"meters",c(-95.9145568, 41.1242718)
"209","Hawthorne Army Depot","Nevada","Army",38.565724,-118.7198004,65244,"160503040203",2004.49,"meters",c(-118.7198004, 38.565724)
"210","Las Vegas Cheyenne AASF","Nevada","Army",36.2175239,-115.2340375,65091,"150100150604",696.81,"meters",c(-115.2340375, 36.2175239)
"211","Nellis AFB","Nevada","Air Force",36.2414162,-115.0508066,65024,"150100150403",573.51,"meters",c(-115.0508066, 36.2414162)
"212","Reno AASF","Nevada","Army",39.6731723,-119.8834562,72218,"180800030901",1531.33,"meters",c(-119.8834562, 39.6731723)
"213","AASF Concord","New Hampshire","Army",43.210265,-71.512478,20646,"010700060302",103.47,"meters",c(-71.512478, 43.210265)
"214","State Military Reservation","New Hampshire","Army",43.210265,-71.512478,20646,"010700060302",103.47,"meters",c(-71.512478, 43.210265)
"215","AASF Main Hangar-cold storage","New Jersey","Army",40.0351,-74.338396,72044,"020403010303",24.5,"meters",c(-74.338396, 40.0351)
"216","Atlantic City","New Jersey","Air Force",39.3642834,-74.4229266,21147,"020403020403",1.66,"meters",c(-74.4229266, 39.3642834)
"217","Kirtland AFB","New Mexico","Air Force",35.0539718,-106.5338817,67688,"130202030304",1665.06,"meters",c(-106.5338817, 35.0539718)
"218","Riorancho","New Mexico","Army",35.2327544,-106.6630437,67598,"130202030107",1606.84,"meters",c(-106.6630437, 35.2327544)
"219","Roswell","New Mexico","Army",33.3942655,-104.5230242,72399,"130600080704",1089.25,"meters",c(-104.5230242, 33.3942655)
"220","Santa Fe AASF","New Mexico","Army",35.683794,-105.942038,66952,"130202010102",2131.66,"meters",c(-105.942038, 35.683794)
"221","Albany AASF #3/DMNA HQ /FMS #16","New York","Army",42.742478,-73.796711,67670,"020200041110",88.35,"meters",c(-73.796711, 42.742478)
"222","BETHPAGE NY NWIRP","New York","Navy",40.7442664,-73.4820687,45138,"020302020201",32.13,"meters",c(-73.4820687, 40.7442664)
"223","Fort Hamilton","New York","Army",40.6094454,-74.0285434,12931,"020301040505",12.33,"meters",c(-74.0285434, 40.6094454)
"224","Rochester Readiness Center/AASF #2","New York","Army",43.113986,-77.673124,45904,"041300030701",162.26,"meters",c(-77.673124, 43.113986)
"225","Ronkonkoma Readiness Center/AASF #1","New York","Army",40.7897527,-73.1043628,14596,"020302020305",25.3,"meters",c(-73.1043628, 40.7897527)
"226","Roslyn Air National Guard Station","New York","Air Force",40.8827614,-73.8809588,65647,"020301010405",52.81,"meters",c(-73.8809588, 40.8827614)
"227","Schenectady Airport","New York","Air Force",42.8540871,-73.9288473,67669,"020200041108",102.51,"meters",c(-73.9288473, 42.8540871)
"228","Watervliet Arsenal","New York","Army",42.7193885,-73.7080405,70888,"020200060302",18.54,"meters",c(-73.7080405, 42.7193885)
"229","CAMP LEJEUNE NC MCB","North Carolina","Navy",34.6250544,-77.4013403,92886,"030203020208",8.7,"meters",c(-77.4013403, 34.6250544)
"230","Fort Bragg - Camp Mackall","North Carolina","Army",35.0365857,-79.4976266,93887,"030402030203",103.49,"meters",c(-79.4976266, 35.0365857)
"231","Military Ocean Terminal Sunny Point","North Carolina","Army",33.9851733,-77.9563766,90509,"030300050704",5.27,"meters",c(-77.9563766, 33.9851733)
"232","Morrisville AASF #1","North Carolina","Army",35.8663669,-78.777747,93393,"030202010801",122.95,"meters",c(-78.777747, 35.8663669)
"233","Salisbury AASF #2","North Carolina","Army",35.639943,-80.5194999,71954,"030401030101",232.03,"meters",c(-80.5194999, 35.639943)
"234","Bismarck AASF Complex","North Dakota","Army",46.762676,-100.742472,65646,"101301031505",503.01,"meters",c(-100.742472, 46.762676)
"235","Cavalier Air Force Station","North Dakota","Air Force",48.7319894,-97.9053019,81994,"090203161102",356.2,"meters",c(-97.9053019, 48.7319894)
"236","Fargo AASF #2","North Dakota","Army",46.91509,-96.804787,62055,"090201040504",273.43,"meters",c(-96.804787, 46.91509)
"237","Grand Forks AFB","North Dakota","Air Force",47.9525204,-97.3824492,92737,"090203070205",272.45,"meters",c(-97.3824492, 47.9525204)
"238","Air Force Plant 36","Ohio","Air Force",39.244411,-84.443377,44470,"050902030103",170.89,"meters",c(-84.443377, 39.244411)
"239","Green Armory AASF#1","Ohio","Army",40.926249,-81.448495,66064,"050400010503",371.8,"meters",c(-81.448495, 40.926249)
"240","Lima Army Tank Plant","Ohio","Army",40.7030165,-84.1309804,69595,"041000070306",263.07,"meters",c(-84.1309804, 40.7030165)
"241","Mansfield","Ohio","Air Force",40.75839,-82.5154471,17770,"050400020204",377.91,"meters",c(-82.5154471, 40.75839)
"242","Mansfield LAHM Fire Station","Ohio","Army",40.7592574,-82.5104972,17770,"050400020204",357.53,"meters",c(-82.5104972, 40.7592574)
"243","Rickenbacker (MTA) - AASF #2","Ohio","Army",39.807115,-82.949937,17670,"050600011603",221.26,"meters",c(-82.949937, 39.807115)
"244","Springfield-Beckley Municipal","Ohio","Air Force",39.8431394,-83.8436718,70532,"050800011902",318.54,"meters",c(-83.8436718, 39.8431394)
"245","Youngstown Air Reserve Station","Ohio","Air Force",41.2694125,-80.6772422,16153,"050301030503",354.47,"meters",c(-80.6772422, 41.2694125)
"246","Fort Sill","Oklahoma","Army",34.5938359,-98.4184224,19838,"111302020303",339.39,"meters",c(-98.4184224, 34.5938359)
"247","Lexington AASF #1","Oklahoma","Army",35.024505,-97.22934,43357,"110902020502",332.51,"meters",c(-97.22934, 35.024505)
"248","McAlester Army Ammunition Plant","Oklahoma","Army",34.9334298,-95.7697131,24145,"110902040503",223.96,"meters",c(-95.7697131, 34.9334298)
"249","Tulsa AASF #2","Oklahoma","Army",36.215838,-95.852194,71102,"110701070403",185.62,"meters",c(-95.852194, 36.215838)
"250","Camp Adair  Corvallis","Oregon","Army",44.5612266,-123.2804876,46841,"170900030211",73.12,"meters",c(-123.2804876, 44.5612266)
"251","Central Oregon Unit Training Equipment Site","Oregon","Army",44.255526,-121.1334472,46703,"170703051005",930.62,"meters",c(-121.1334472, 44.255526)
"252","Pang Base Enclave","Oregon","Army",45.5747326,-122.5967686,15631,"170900120201",7.82,"meters",c(-122.5967686, 45.5747326)
"253","Pendleton Complex Armory / AASF","Oregon","Army",45.692369,-118.849368,73263,"170701030802",454.44,"meters",c(-118.849368, 45.692369)
"254","Umatilla Chemical Depot/Well #4/Sample # 16-6746-AZW6A","Oregon","Army",45.843056,-119.438056,11987,"170701010602",190.99,"meters",c(-119.438056, 45.843056)
"255","Umatilla Depot","Oregon","Army",38.888684,-77.004719,35899,"020700100103",25.8,"meters",c(-77.004719, 38.888684)
"256","Defense Distribution Center Susquehanna","Pennsylvania","DLA",40.2078741,-76.8486233,43349,"020503051011",106.65,"meters",c(-76.8486233, 40.2078741)
"257","Johnstown AASF #2/Readiness Center","Pennsylvania","Army",40.321285,-78.828315,16072,"050100070503",686.95,"meters",c(-78.828315, 40.321285)
"258","MECHANICSBURG PA NAVICP","Pennsylvania","Navy",40.2284216,-76.9917456,42797,"020503050407",127.99,"meters",c(-76.9917456, 40.2284216)
"259","Philadelphia NS","Pennsylvania","Navy",39.9525839,-75.1652215,21431,"020402031008",12.72,"meters",c(-75.1652215, 39.9525839)
"260","Scranton Army Ammunition Plant","Pennsylvania","Army",41.404131,-75.6656693,100694,"020501070107",224.39,"meters",c(-75.6656693, 41.404131)
"261","Tobyhanna Army Depot","Pennsylvania","Army",41.1860113,-75.4295174,43124,"020401060102",589.89,"meters",c(-75.4295174, 41.1860113)
"262","DAVISVILLE_NCBC","Rhode Island","Navy",41.605397,-71.440414,9265,"010900040908",5.81,"meters",c(-71.440414, 41.605397)
"263","AASF Upstate","South Carolina","Army",34.7694393,-82.3735026,41165,"030501090402",270.54,"meters",c(-82.3735026, 34.7694393)
"264","Allendale Armory","South Carolina","Army",33.0139562,-81.3060226,13142,"030502080201",57.6,"meters",c(-81.3060226, 33.0139562)
"265","BEAUFORT SC MCAS","South Carolina","Navy",32.4755067,-80.7146338,15537,"030502080502",6.22,"meters",c(-80.7146338, 32.4755067)
"266","Charleston NS","South Carolina","Navy",32.8688072,-80.0019291,41883,"030502010707",7.79,"meters",c(-80.0019291, 32.8688072)
"267","Charleston NSY","South Carolina","Navy",32.7357116,-79.9675452,41731,"030502010605",4.49,"meters",c(-79.9675452, 32.7357116)
"268","Fort Jackson","South Carolina","Army",33.9978512,-80.9507406,41897,"030501100203",65.43,"meters",c(-80.9507406, 33.9978512)
"269","PARRIS ISLAND SC MCRD","South Carolina","Navy",32.328746,-80.69479,44411,"030502080608",0.1,"meters",c(-80.69479, 32.328746)
"270","Joint Forces Headquarters","South Dakota","Army",44.0821648,-103.2667382,42284,"101201100202",1021.15,"meters",c(-103.2667382, 44.0821648)
"271","Rapid City Airport Complex","South Dakota","Army",44.0383798,-103.0605163,42286,"101201100204",964.42,"meters",c(-103.0605163, 44.0383798)
"272","AASF #2","Tennessee","Army",35.820245,-83.99465,94552,"060102010205",302.34,"meters",c(-83.99465, 35.820245)
"273","BRISTOL TN NWIRP","Tennessee","Navy",36.551089,-82.177829,9301,"060101020502",481.47,"meters",c(-82.177829, 36.551089)
"274","Holston Army Ammunition Plant","Tennessee","Army",36.5349675,-82.6291608,94220,"060101040101",372.93,"meters",c(-82.6291608, 36.5349675)
"275","Jackson Airport Armory/AASF #3","Tennessee","Army",35.6076922,-88.9084777,18014,"080102050303",122.5,"meters",c(-88.9084777, 35.6076922)
"276","Joint Base Berry Field","Tennessee","Army",36.1306071,-86.6695571,22565,"051302020102",169.96,"meters",c(-86.6695571, 36.1306071)
"277","Memphis NAS (Millington)","Tennessee","Navy",35.3366172,-89.8706934,30649,"080102090302",81.35,"meters",c(-89.8706934, 35.3366172)
"278","Milan Army Ammunition Plant","Tennessee","Army",35.9242569,-88.7623617,17445,"080102030103",129.11,"meters",c(-88.7623617, 35.9242569)
"279","VTS Smyrna - PA","Tennessee","Army",36.0103955,-86.5058132,22430,"051302030305",153.87,"meters",c(-86.5058132, 36.0103955)
"280","Brooks-City Base","Texas","Air Force",29.3459907,-98.4449944,50165,"121003010203",184.43,"meters",c(-98.4449944, 29.3459907)
"281","Carswell AFB","Texas","Air Force",32.7750793,-97.4237241,97357,"120301020105",180.51,"meters",c(-97.4237241, 32.7750793)
"282","Chase Field NAS","Texas","Navy",28.3601791,-97.6585583,27120,"121004070204",54.57,"meters",c(-97.6585583, 28.3601791)
"283","Dallas NAS","Texas","Navy",32.7412064,-96.9838352,96810,"120301020607",151.95,"meters",c(-96.9838352, 32.7412064)
"284","DALLAS TX NWIRP","Texas","Navy",32.740833,-96.979722,96810,"120301020607",149.93,"meters",c(-96.979722, 32.740833)
"285","Fort Bliss","Texas","Army",31.812438,-106.4213208,23319,"130401000103",1181.78,"meters",c(-106.4213208, 31.812438)
"286","Fort Hood","Texas","Army",31.1363315,-97.7797049,17534,"120702011101",278.57,"meters",c(-97.7797049, 31.1363315)
"287","FT WORTH TX NAS JRB","Texas","Navy",32.7750793,-97.4237241,97357,"120301020105",180.51,"meters",c(-97.4237241, 32.7750793)
"288","Goodfellow AFB","Texas","Air Force",31.4359135,-100.4010915,95063,"120901050203",564.38,"meters",c(-100.4010915, 31.4359135)
"289","KINGSVILLE TX NAS","Texas","Navy",27.495298,-97.8187156,55452,"121102040410",14.56,"meters",c(-97.8187156, 27.495298)
"290","Martindale - AASF","Texas","Army",29.8397001,-97.8437258,94802,"121002030304",158.68,"meters",c(-97.8437258, 29.8397001)
"291","MCCLENNAN TX NIROP","Texas","Navy",35.318972,-101.547752,96898,"111203010103",1077.75,"meters",c(-101.547752, 35.318972)
"292","Red River Army Depot","Texas","Army",33.4603046,-94.3707212,94707,"111403020603",110,"meters",c(-94.3707212, 33.4603046)
"293","AASF-E.J. Garn Aviation Complex","Utah","Army",40.613505,-111.99725,82227,"160202040206",1409.75,"meters",c(-111.99725, 40.613505)
"294","Dugway Proving Ground","Utah","Army",40.2210533,-112.7444097,51659,"160203050103",1476,"meters",c(-112.7444097, 40.2210533)
"295","Tooele Army Depot","Utah","Army",40.5214285,-112.4016179,51603,"160203040502",1412.77,"meters",c(-112.4016179, 40.5214285)
"296","Tooele Army Depot South (Deseret Chemical Depot)","Utah","Army",40.5214285,-112.4016179,51603,"160203040502",1412.77,"meters",c(-112.4016179, 40.5214285)
"297","Wendover Airport - AVFAC","Utah","Army",40.7195085,-114.0330711,66317,"160203061601",1287.25,"meters",c(-114.0330711, 40.7195085)
"298","White Sands Missile Range - Green River Test Site","Utah","Army",38.9413,-110.0753,100348,"140600080304",1356.06,"meters",c(-110.0753, 38.9413)
"299","JFHQ Camp Johnson","Vermont","Army",44.501697,-73.162329,45589,"043001030704",97.61,"meters",c(-73.162329, 44.501697)
"300","South Burlington AASF / Readiness Center","Vermont","Army",44.481848,-73.16298,45589,"043001030704",80.64,"meters",c(-73.16298, 44.481848)
"301","AASF Byrd Field","Virginia","Army",37.5065795,-77.3208112,51581,"020802060503",48.02,"meters",c(-77.3208112, 37.5065795)
"302","Camp Pendleton SMR","Virginia","Army",36.8188094,-75.9810656,30106,"020403040501",4.26,"meters",c(-75.9810656, 36.8188094)
"303","CHESAPEAKE VA NSGA NW","Virginia","Navy",36.5690233,-76.2459943,916,"030102051103",5.98,"meters",c(-76.2459943, 36.5690233)
"304","CHESAPEAKE VA ST JULIEN CREEK","Virginia","Navy",36.7940125,-76.3229398,83131,"020802080203",3.73,"meters",c(-76.3229398, 36.7940125)
"305","Chesterfield Limited AASF","Virginia","Army",37.405005,-77.519308,48996,"020802060103",62.33,"meters",c(-77.519308, 37.405005)
"306","CRANEY ISLAND VA NFD/NSC","Virginia","Navy",36.892417,-76.362055,83150,"020802080206",5.77,"meters",c(-76.362055, 36.892417)
"307","DAHLGREN VA NSWCTR DIV","Virginia","Navy",38.326766,-77.037431,6037,"020700110305",4.66,"meters",c(-77.037431, 38.326766)
"308","DAM NECK VA","Virginia","Navy",36.798246,-75.9753516,51150,"030102051301",1.04,"meters",c(-75.9753516, 36.798246)
"309","Defense Supply Center Richmond","Virginia","DLA",37.414644,-77.440685,48996,"020802060103",36.82,"meters",c(-77.440685, 37.414644)
"310","Driver NRTF","Virginia","Navy",36.816389,-76.539444,83057,"020802080106",5.81,"meters",c(-76.539444, 36.816389)
"311","Fort AP Hill","Virginia","Army",38.0718289,-77.3214193,50113,"020801050401",63.53,"meters",c(-77.3214193, 38.0718289)
"312","Fort Belvoir","Virginia","Army",38.7188716,-77.1542684,29394,"020700100402",22.46,"meters",c(-77.1542684, 38.7188716)
"313","Fort Lee","Virginia","Army",37.2489537,-77.3381855,52831,"020802071002",29.68,"meters",c(-77.3381855, 37.2489537)
"314","Fort Pickett MTC","Virginia","Army",37.0618671,-77.9719538,48781,"030102010202",119.05,"meters",c(-77.9719538, 37.0618671)
"315","JB Myer Henderson Hall","Virginia","Army",38.8724998,-77.0794651,35906,"020700100301",56.21,"meters",c(-77.0794651, 38.8724998)
"316","LITTLE CREEK VA NAVPHIBSE","Virginia","Navy",36.917,-76.164,30104,"020801080202",2.75,"meters",c(-76.164, 36.917)
"317","PORTSMOUTH VA NORFOLK NSY","Virginia","Navy",36.8133488,-76.3036107,83131,"020802080203",2.07,"meters",c(-76.3036107, 36.8133488)
"318","QUANTICO VA MCCOMBDEV CMD","Virginia","Navy",38.551111,-77.430556,29421,"020700110105",70.13,"meters",c(-77.430556, 38.551111)
"319","Radford Army Ammunition Plant","Virginia","Army",37.1770734,-80.5397093,53249,"050500011803",586.63,"meters",c(-80.5397093, 37.1770734)
"320","Vint Hill Farms","Virginia","Army",38.7464553,-77.6737906,82952,"020700100502",120.88,"meters",c(-77.6737906, 38.7464553)
"321","WILLIAMSBURG VA FISC CA","Virginia","Navy",37.290682,-76.609607,50926,"020801070203",7.75,"meters",c(-76.609607, 37.290682)
"322","AASF #2 - WA","Washington","Army",47.62673,-117.632929,15688,"170601080601",738.78,"meters",c(-117.632929, 47.62673)
"323","Bremerton","Washington","Army",47.5650067,-122.6269768,77111,"171100190705",13.51,"meters",c(-122.6269768, 47.5650067)
"324","BREMERTON  WA NAVBASE","Washington","Navy",47.72215,-122.7181033,10660,"171100180108",112.59,"meters",c(-122.7181033, 47.72215)
"325","Camp Murray","Washington","Army",47.1170638,-122.5696648,16745,"171100190304",79.82,"meters",c(-122.5696648, 47.1170638)
"326","Four Lakes Air National Guard Station","Washington","Air Force",47.666883,-117.417622,74706,"170103050402",582.6,"meters",c(-117.417622, 47.666883)
"327","INDIAN ISLAND WA NAVMAG","Washington","Navy",48.0530289,-122.7279456,77417,"171100190803",47.38,"meters",c(-122.7279456, 48.0530289)
"328","JB Lewis McChord - Yakima Training Center","Washington","Army",47.1334474,-122.485855,77152,"171100190303",94.24,"meters",c(-122.485855, 47.1334474)
"329","KEYPORT WA NUWC DIV","Washington","Navy",47.6957126,-122.6241925,77418,"171100190707",2.42,"meters",c(-122.6241925, 47.6957126)
"330","MANCHESTER WA FUELDPTPSND","Washington","Navy",47.567008,-122.55308,77109,"171100190703",5.8,"meters",c(-122.55308, 47.567008)
"331","PUGET SOUND  WA NAVSHIPYD","Washington","Navy",47.5579616,-122.6438434,77111,"171100190705",4.17,"meters",c(-122.6438434, 47.5579616)
"332","Puget Sound NS Sand Point","Washington","Navy",47.681972,-122.255472,76377,"171100120400",11.73,"meters",c(-122.255472, 47.681972)
"333","CTC Camp Dawson-Kingwood","West Virginia","Army",39.4501522,-79.6686737,95906,"050200040704",380.61,"meters",c(-79.6686737, 39.4501522)
"334","Fixed wing AAS","West Virginia","Army",39.296124,-80.225053,83262,"050200020401",360.15,"meters",c(-80.225053, 39.296124)
"335","Parkersburg AASF #1","West Virginia","Army",39.352384,-81.4440133,83279,"050302020101",256.78,"meters",c(-81.4440133, 39.352384)
"336","ROCKET CTR WVA WV ABL MNR","West Virginia","Navy",39.561111,-78.834722,82906,"020700020403",202.74,"meters",c(-78.834722, 39.561111)
"337","Wheeling - AASF #2","West Virginia","Army",40.173685,-80.640209,96434,"050301061203",360.23,"meters",c(-80.640209, 40.173685)
"338","Yeager (McLaughlin)","West Virginia","Air Force",38.3726132,-81.5868955,17843,"050500070909",223.91,"meters",c(-81.5868955, 38.3726132)
"339","Madison AASF #2","Wisconsin","Army",43.125835,-89.339732,75459,"070900020701",261.55,"meters",c(-89.339732, 43.125835)
"340","Truax Field","Wisconsin","Air Force",43.1284093,-89.3333236,75459,"070900020701",262.37,"meters",c(-89.3333236, 43.1284093)
"341","Volk Field","Wisconsin","Air Force",43.9269182,-90.2630214,78452,"070700031604",286.82,"meters",c(-90.2630214, 43.9269182)
"342","West Bend AASF #1 / Armory","Wisconsin","Army",43.4240146,-88.136031,51094,"040400030209",265.38,"meters",c(-88.136031, 43.4240146)
"343","Casper","Wyoming","Army",42.8500769,-106.3251749,96585,"101800070805",1561.97,"meters",c(-106.3251749, 42.8500769)
"344","FORT CHAFFEE","Arkansas","Army",35.2543951,-94.1309067,20749,"111102010201",149.81,"meters",c(-94.1309067, 35.2543951)
"345","SACRAMENTO ARMY DEPOT","California","Army",38.5246538,-121.3958752,84618,"180201630402",13.79,"meters",c(-121.3958752, 38.5246538)
"346","FORT BENJAMIN HARRISON","Indiana","Army",39.8683896,-86.019344,87204,"051202010904",249.53,"meters",c(-86.019344, 39.8683896)
"347","JEFFERSON PROVING GROUND","Indiana","Army",38.8362436,-85.416691,62554,"051202070103",263.78,"meters",c(-85.416691, 38.8362436)
"348","FORT WINGATE DEPOT ACTIVITY","New Mexico","Army",35.4718903,-108.5438525,30202,"150200060104",2115.46,"meters",c(-108.5438525, 35.4718903)
"349","TONOPAH AIR FORCE STATION","Nevada","Air Force",38.069211,-117.2305861,27769,"160600030703",1837.41,"meters",c(-117.2305861, 38.069211)
"350","COOS HEAD AIR NATIONAL GUARD STATION","Oregon","Air Force",43.347191,-124.340047,11394,"171003040306",37.18,"meters",c(-124.340047, 43.347191)
